,property_class,property_status,address,neighborhood,location,latitude_pinpoint,longitude_pinpoint,year_of_acquisition,latitude_street,longitude_street,frontview_heading,panoids_years
583,Residential Improved,Disposed,"5633 E 30th Ter,Kansas City, MO 64128",South Blue Valley,"5633 E 30th Ter,Kansas City, MO 64128,(39.070169, -94.516622),geocode,(39.0700022, -94.5166637)",39.0700022,-94.5166637,2015,39.070169,-94.516622,180,"{2011: 'mVfLDBRaACEv5nVdHTVv8A', 2019: '2StHs_c64O9gdyJA730kbQ'}"
584,Residential Improved,Disposed,"4012  FOREST AVE,Kansas City, MO 64110",Manheim Park,"4012  FOREST AVE,Kansas City, MO 64110,(39.053722, -94.570954),geocode,(39.0538179, -94.57133739999999)",39.0538179,-94.5713374,2014,39.053722,-94.570954,90,"{2007: '3yMR9ty2_kMHmXJ6dSGc8g', 2011: 'FSmJ96uUeE7fTvwnYfTQ3Q', 2019: 'LfJfPGBybmo297mV3KE5JQ'}"
585,Residential Improved,Disposed,"5630 WABASH AVE,KANSAS CITY, MO 64130",Blue Hills,"5630 WABASH AVE,KANSAS CITY, MO 64130,(39.02357, -94.556527),geocode,(39.0236301, -94.5567811)",39.0236301,-94.5567811,2013,39.02357,-94.556527,90,"{2007: 'XvRjuQD8KwU1eMYEBSGb-A', 2011: 's5kfiJuB7AiHFSn9_qijNQ', 2014: 'IwzlwTtcNtRHkZ6jErJxbg', 2019: 'JzL_Kbtl84GC-sO6LtTrSA'}"
586,Residential Improved,Disposed,"3800 Benton Blvd,Kansas City, MO 64128",Oak Park Northwest,"3800 Benton Blvd,Kansas City, MO 64128,(39.056928, -94.54663),geocode,(39.0568823, -94.5470309)",39.0568823,-94.5470309,2013,39.056928,-94.54663,90,"{2007: 'KMCh9kKt2NuwW4JWzeKtcw', 2011: 'UMMYnOO2pA_8xyPhPYb3Vw', 2014: 'Eqqr6Ggo6JM-hxlLv3MB2g', 2019: '0RxsvLFbzFngYSAWQETz4g'}"
587,Residential Improved,Disposed,"500 Blue Ridge Blvd Unit B,Kansas City, MO 64125",North Blue Ridge,"500 Blue Ridge Blvd Unit B,Kansas City, MO 64125,(39.105444, -94.48005),geocode,(39.1054311, -94.4803726)",39.1054311,-94.4803726,2013,39.105444,-94.48005,90,"{2011: 'j2m6l4-hGg7upgyfEjfuUA', 2014: 'KM6hf8fTJjTcejnkN_j8Qw', 2019: 'FdOMUftIfGfFz7fX395CmQ'}"
588,Residential Improved,Reserved,"4341 NORTON AVE,Kansas City, MO 64130",Vineyard Northwest,"4341 NORTON AVE,Kansas City, MO 64130,(39.046173, -94.536771),geocode,(39.0461593, -94.5365173)",39.0461593,-94.5365173,2021,39.046173,-94.536771,90,"{2007: 'rhWVibt7bFr8DJK9ieK1xg', 2011: 'BmaYbHsexsRinQmTgMWWyg', 2014: 'pzpboN6AiQiIniDWCL6zKA', 2019: 'a_Z5d7aQY_zPfx-Rs_gzuA'}"
589,Residential Improved,Disposed,"2629 Drury Ave,Kansas City, MO 64127",South Blue Valley,"2629 Drury Ave,Kansas City, MO 64127,(39.076708, -94.519069),geocode,(39.0766615, -94.5187977)",39.0766615,-94.5187977,2013,39.076708,-94.519069,90,"{2008: 'CyjRA-MnCXPj8JU2LrRX7Q', 2011: 'gIhi2S_B6nuyoS7J6DfV4Q', 2014: 'SE64VZrh8A82fMDRBaaxIw', 2019: 'lnouFTToKBEdJhPdXs9hVA'}"
590,Residential Improved,Disposed,"4121  WOODLAND AVE,Kansas City, MO 64130",Ivanhoe Southwest,"4121  WOODLAND AVE,Kansas City, MO 64130,(39.051394, -94.563098),geocode,(39.0513527, -94.5627851)",39.0513527,-94.5627851,2014,39.051394,-94.563098,90,"{2007: 'l0Z9DGXS7nQGBeUbCdjDYw', 2011: 'VHSzjS_x4oCLJlnPXXFfWg', 2014: 'WDin-EwgbeYndJriS10u6w', 2015: '6RQ8eEygAWKNcAtQWVNurg', 2016: 'RtC9UgyJnxHqovVS4F6IrA', 2019: '68NVeu8H_cRemfjRxcBTHg'}"
591,Residential Improved,Disposed,"4030 PROSPECT AVE,KANSAS CITY, MO 64130",Ivanhoe Southeast,"4030 PROSPECT AVE,KANSAS CITY, MO 64130,(39.052487, -94.553747),geocode,(39.0525047, -94.55408150000001)",39.0525047,-94.5540815,2016,39.052487,-94.553747,90,"{2007: 'fHgsQUMUXQAT5cxUOyarCw', 2009: '7tJwRARa22lbpeveV7Mqpw', 2011: 'rEEFhGbeGO77aEfjnW94vg', 2014: 'nnHqPBnJ26f4MgyFsBtlqw', 2016: 'XZSby3VrCUZeYuemR4l-AQ', 2018: '3BS1evfN4HmCIyfZYCf6QQ', 2019: 'lCxBT0CyGdStIKRx4lf7zw', 2021: 'LFsZjoxVJGRXceCDF6Eh1A'}"
592,Residential Improved,Reserved,"2404 Monroe Ave,Kansas City, MO 64127",East Community Team South,"2404 Monroe Ave,Kansas City, MO 64127,(39.082547, -94.539503),geocode,(39.0825397, -94.5397497)",39.0825397,-94.5397497,2013,39.082547,-94.539503,90,"{2007: 'N9Lm07Pwg4Zzf9T-H1z-QQ', 2011: '3cKKLG8SD5--BTO1gS7zmw', 2013: 'kdtZFmi_Zmctb7huw-KNLw', 2014: 'Ty-FbQWvP84uOciQKyyV9Q', 2019: 'N46NVo8KgmczG4HD3sm_2w'}"
